"medcode"	"term"	"group"	"database"
"5248911000006110"	"depression worse in morning"	"depression"	"Aurum"
"5248931000006116"	"depression worse later in day"	"depression"	"Aurum"
"5359021000006116"	"depression"	"depression"	"Aurum"
"6000711000006112"	"moderate depression"	"depression"	"Aurum"
"6337491000006116"	"major depressive disorder"	"depression"	"Aurum"
"6337501000006112"	"major depression"	"depression"	"Aurum"
"7127651000006115"	"severe major depression, single episode, with psychotic features"	"depression"	"Aurum"
"7127661000006118"	"major depressive disorder, single episode, severe with psychotic features"	"depression"	"Aurum"
"7382291000006112"	"severe major depression"	"depression"	"Aurum"
"7483151000006113"	"suspected depressive disorder"	"depression"	"Aurum"
"7515151000006115"	"depressive disorder in remission"	"depression"	"Aurum"
"7695931000006118"	"acute depression"	"depression"	"Aurum"
"7788651000006116"	"moderately severe major depression"	"depression"	"Aurum"
"7788661000006119"	"moderately severe depression"	"depression"	"Aurum"
"7803701000006116"	"moderately severe recurrent major depression"	"depression"	"Aurum"
"7803711000006118"	"moderately severe major depression single episode"	"depression"	"Aurum"
"7803731000006112"	"minimal major depression single episode"	"depression"	"Aurum"
"7882721000006118"	"major depression with psychotic features"	"depression"	"Aurum"
"7965191000006118"	"severe recurrent major depression"	"depression"	"Aurum"
"8089301000006110"	"reactive depressive psychosis, single episode"	"depression"	"Aurum"
"8214741000006117"	"depression monitoring invitation"	"depression"	"Aurum"
"8232571000006118"	"single major depressive episode, severe, with psychosis, psychosis in remission"	"depression"	"Aurum"
"8232591000006117"	"recurrent major depressive episodes, severe, with psychosis, psychosis in remission"	"depression"	"Aurum"
"8237831000006115"	"recurrent major depressive episodes, in partial remission"	"depression"	"Aurum"
"8237841000006113"	"recurrent major depressive episodes, in remission"	"depression"	"Aurum"
"8237851000006110"	"single major depressive episode, in remission"	"depression"	"Aurum"
"8245201000006115"	"depression care management"	"depression"	"Aurum"
"8308801000006112"	"did not attend depression review"	"depression"	"Aurum"
"8459471000006114"	"depression monitoring invitation email"	"depression"	"Aurum"
"8459491000006110"	"depression monitoring invitation sms (short message service) text message"	"depression"	"Aurum"
"8465321000006112"	"reactive depression, prolonged single episode"	"depression"	"Aurum"
"8465361000006118"	"reactive depression, first episode"	"depression"	"Aurum"
"9901261000006114"	"moderate major depressive disorder co-occurrent with anxiety single episode"	"depression"	"Aurum"
"9901281000006116"	"severe major depressive disorder co-occurrent with anxiety single episode"	"depression"	"Aurum"
"12127541000006115"	"recurrent severe major depressive disorder co-occurrent with anxiety"	"depression"	"Aurum"
"12127551000006118"	"recurrent moderate major depressive disorder co-occurrent with anxiety"	"depression"	"Aurum"
"12127561000006116"	"recurrent major depressive disorder co-occurrent with anxiety in full remission"	"depression"	"Aurum"
"12127571000006111"	"recurrent major depressive disorder in partial remission co-occurrent with anxiety"	"depression"	"Aurum"
"13974501000006115"	"depressive episode"	"depression"	"Aurum"
"13974511000006117"	"episode of depression"	"depression"	"Aurum"
"14452211000006113"	"treatment resistant depression"	"depression"	"Aurum"
"14452261000006111"	"persistent depressive disorder"	"depression"	"Aurum"
"92994"	"Cenesthopathic schizophrenia"	"schizophrenia"	"Gold"
"2741"	"[X]Hypomania"	"bipolar"	"Gold"
"15958"	"Non-organic psychoses"	"other psychosis"	"Gold"
"50023"	"[X]Bouffee delirante"	"other psychosis"	"Gold"
"21455"	"[X]Cycloid psychosis"	"other psychosis"	"Gold"
"102446"	"Latent schizophrenia NOS"	"other psychosis"	"Gold"
"12831"	"Manic-depressive - now depressed"	"bipolar"	"Gold"
"70925"	"Atypical manic disorder"	"bipolar"	"Gold"
"4261"	"Paranoid states"	"other psychosis"	"Gold"
"24640"	"Single manic episode, moderate"	"bipolar"	"Gold"
"40981"	"[X]Delusional dysmorphophobia"	"other psychosis"	"Gold"
"60178"	"Other and unspecified manic-depressive psychoses"	"bipolar"	"Gold"
"31984"	"Other nonorganic psychoses"	"other psychosis"	"Gold"
"32875"	"Grandiose delusions"	"other psychosis"	"Gold"
"36611"	"Manic disorder, single episode NOS"	"bipolar"	"Gold"
"16905"	"[X]Schizoaffective psychosis, manic type"	"other psychosis"	"Gold"
"104051"	"[X]Bipolar II disorder"	"bipolar"	"Gold"
"59011"	"Bipolar affect disord,currently manic, part/unspec remission"	"bipolar"	"Gold"
"55064"	"Mixed bipolar affective disorder, in full remission"	"bipolar"	"Gold"
"11055"	"[X]Schizoaffective disorder, depressive type"	"other psychosis"	"Gold"
"15053"	"Acute paranoid reaction"	"other psychosis"	"Gold"
"36720"	"[X]Acute polymorphic psychot disord without symp of schizoph"	"other psychosis"	"Gold"
"11778"	"[X]Acute schizophrenia-like psychotic disorder"	"other psychosis"	"Gold"
"16644"	"Morbid jealousy"	"other psychosis"	"Gold"
"27584"	"[X]Bipolar affective disorder, currently in remission"	"bipolar"	"Gold"
"34168"	"[X]Acute and transient psychotic disorder, unspecified"	"other psychosis"	"Gold"
"4390"	"Psychotic condition, insight present"	"other psychosis"	"Gold"
"70721"	"Unspecified bipolar affect disord, partial/unspec remission"	"bipolar"	"Gold"
"43800"	"Chronic schizo-affective schizophrenia"	"other psychosis"	"Gold"
"32088"	"[X]Other manic episodes"	"bipolar"	"Gold"
"104763"	"[X]Cyclic schizophrenia"	"schizophrenia"	"Gold"
"53032"	"Acute exacerbation of chronic paranoid schizophrenia"	"schizophrenia"	"Gold"
"46425"	"Recurrent manic episodes, mild"	"bipolar"	"Gold"
"52523"	"O/E - delusion of persecution"	"other psychosis"	"Gold"
"54607"	"Unspecified affective psychoses NOS"	"other psychosis"	"Gold"
"31633"	"[X]Affective psychosis NOS"	"other psychosis"	"Gold"
"19967"	"Recurrent manic episodes, unspecified"	"bipolar"	"Gold"
"14784"	"Unspecified bipolar affective disorder"	"bipolar"	"Gold"
"55829"	"Bipolar affect disord, currently manic,severe with psychosis"	"bipolar"	"Gold"
"64264"	"[X]Residual schizophrenia"	"schizophrenia"	"Gold"
"22713"	"Manic mood"	"bipolar"	"Gold"
"25019"	"[X]Acute and transient psychotic disorders"	"other psychosis"	"Gold"
"23713"	"[X]Bipol aff disord, curr epis sev depress, no psychot symp"	"bipolar"	"Gold"
"17385"	"Manic-depressive - now manic"	"bipolar"	"Gold"
"22188"	"Non-organic psychosis NOS"	"other psychosis"	"Gold"
"91547"	"[X]Atypical schizophrenia"	"schizophrenia"	"Gold"
"33426"	"Other and unspecified manic-depressive psychoses NOS"	"bipolar"	"Gold"
"55236"	"[X]Paranoia querulans"	"other psychosis"	"Gold"
"14728"	"Single manic episode, mild"	"bipolar"	"Gold"
"49852"	"[X]Pseudoneurotic schizophrenia"	"other psychosis"	"Gold"
"57605"	"Bipolar affective disorder, currently manic, NOS"	"bipolar"	"Gold"
"37681"	"[X]Schizoaffective disorder, unspecified"	"other psychosis"	"Gold"
"24689"	"Mixed bipolar affective disorder, mild"	"bipolar"	"Gold"
"16764"	"[X]Paranoid schizophrenia"	"schizophrenia"	"Gold"
"20228"	"Reactive psychoses"	"other psychosis"	"Gold"
"61098"	"Subchronic schizo-affective schizophrenia"	"other psychosis"	"Gold"
"24345"	"Psychogenic paranoid psychosis"	"other psychosis"	"Gold"
"14965"	"Nonorganic psychosis NOS"	"other psychosis"	"Gold"
"51322"	"Acute exacerbation of subchronic paranoid schizophrenia"	"schizophrenia"	"Gold"
"27739"	"Recurrent manic episodes, moderate"	"bipolar"	"Gold"
"70884"	"[X]Brief schizophrenifrm psych"	"other psychosis"	"Gold"
"94604"	"[X]Schizophrenic reaction"	"other psychosis"	"Gold"
"8407"	"Schizophrenia NOS"	"schizophrenia"	"Gold"
"30985"	"[X]Other nonorganic psychotic disorders"	"other psychosis"	"Gold"
"47947"	"[X]Paraphrenia - late"	"other psychosis"	"Gold"
"65127"	"[X]Sensitiver Beziehungswahn"	"other psychosis"	"Gold"
"4843"	"[X]Paranoia"	"other psychosis"	"Gold"
"29651"	"[X]Reactive psychosis"	"other psychosis"	"Gold"
"31707"	"[X]Brief reactive psychosis NOS"	"other psychosis"	"Gold"
"49420"	"[X]Other schizophrenia"	"schizophrenia"	"Gold"
"70399"	"Other mixed manic-depressive psychoses"	"bipolar"	"Gold"
"39316"	"[X]Schizotypal disorder"	"other psychosis"	"Gold"
"37070"	"Manic disorder, single episode"	"bipolar"	"Gold"
"16537"	"Other specified non-organic psychoses"	"other psychosis"	"Gold"
"15733"	"Unspecified schizophrenia"	"schizophrenia"	"Gold"
"6325"	"H/O: schizophrenia"	"schizophrenia"	"Gold"
"11172"	"[X]Paranoid state"	"other psychosis"	"Gold"
"24230"	"Unspecified bipolar affective disorder, in full remission"	"bipolar"	"Gold"
"16347"	"Bipolar affect disord, currently manic, severe, no psychosis"	"bipolar"	"Gold"
"1915"	"Delusions"	"other psychosis"	"Gold"
"35848"	"[X]Simple schizophrenia"	"schizophrenia"	"Gold"
"66410"	"Latent schizophrenia"	"other psychosis"	"Gold"
"101720"	"[X]Paranoid state in remission"	"other psychosis"	"Gold"
"85972"	"Psychosis resolved"	"other psychosis"	"Gold"
"28277"	"[X]Bipolar affect disorder cur epi manic with psychotic symp"	"bipolar"	"Gold"
"4732"	"[X]Bipolar affect dis cur epi severe depres with psyc symp"	"bipolar"	"Gold"
"33751"	"[X]Bipolar affective disorder, unspecified"	"bipolar"	"Gold"
"12173"	"[X]Manic episode"	"bipolar"	"Gold"
"21595"	"[X]Acute polymorphic psychot disord with symp of schizophren"	"other psychosis"	"Gold"
"58862"	"Unspecified schizo-affective schizophrenia"	"other psychosis"	"Gold"
"58716"	"Unspecified catatonic schizophrenia"	"schizophrenia"	"Gold"
"20110"	"Single manic episode, unspecified"	"bipolar"	"Gold"
"50060"	"[X]Paraphrenic schizophrenia"	"schizophrenia"	"Gold"
"12472"	"O/E - paranoid delusions"	"other psychosis"	"Gold"
"28677"	"[X]Manic-depress psychosis,depressed type+psychotic symptoms"	"bipolar"	"Gold"
"26119"	"Other reactive psychoses NOS"	"other psychosis"	"Gold"
"99070"	"Coenesthopathic schizophrenia"	"schizophrenia"	"Gold"
"57666"	"Acute exacerbation of subchronic schizophrenia"	"schizophrenia"	"Gold"
"41022"	"[X]Schizophreniform psychosis, depressive type"	"other psychosis"	"Gold"
"50248"	"[X]Involutional paranoid state"	"other psychosis"	"Gold"
"66506"	"Unspecified hebephrenic schizophrenia"	"schizophrenia"	"Gold"
"30282"	"Profile of mood states, bipolar"	"bipolar"	"Gold"
"58532"	"[X]Other schizoaffective disorders"	"other psychosis"	"Gold"
"30688"	"[X]Mixed affective episode"	"bipolar"	"Gold"
"15923"	"Bipolar affective disorder, currently depressed, unspecified"	"bipolar"	"Gold"
"1531"	"[X]Manic-depressive illness"	"bipolar"	"Gold"
"6710"	"[X]Manic-depressive psychosis"	"bipolar"	"Gold"
"66153"	"[X]Manic-depressive reaction"	"bipolar"	"Gold"
"31535"	"Mixed bipolar affective disorder, unspecified"	"bipolar"	"Gold"
"22104"	"[V]Personal history of schizophrenia"	"schizophrenia"	"Gold"
"62680"	"Shared paranoid disorder"	"other psychosis"	"Gold"
"9422"	"[X]Schizoaffective disorders"	"other psychosis"	"Gold"
"58863"	"Recurrent manic episodes, partial or unspecified remission"	"bipolar"	"Gold"
"31738"	"[X]Chronic hallucinatory psychosis"	"other psychosis"	"Gold"
"49761"	"Other schizophrenia NOS"	"schizophrenia"	"Gold"
"33847"	"[X]Schizoaffective disorder, manic type"	"other psychosis"	"Gold"
"21065"	"[X]Mania with psychotic symptoms"	"bipolar"	"Gold"
"33410"	"[X]Schizoaffective psychosis NOS"	"other psychosis"	"Gold"
"11548"	"H/O: manic depressive disorder"	"bipolar"	"Gold"
"96883"	"Latent schizophrenia in remission"	"other psychosis"	"Gold"
"694"	"[X]Psychosis NOS"	"other psychosis"	"Gold"
"31362"	"Chronic paranoid schizophrenia"	"schizophrenia"	"Gold"
"47230"	"[X]Induced paranoid disorder"	"other psychosis"	"Gold"
"11973"	"[X]Induced psychotic disorder"	"other psychosis"	"Gold"
"105606"	"[X]Folie a deux"	"other psychosis"	"Gold"
"53625"	"Simple schizophrenia NOS"	"schizophrenia"	"Gold"
"30619"	"Hebephrenic schizophrenia"	"schizophrenia"	"Gold"
"1494"	"Paranoid schizophrenia"	"schizophrenia"	"Gold"
"48632"	"[X]Mania with mood-incongruent psychotic symptoms"	"bipolar"	"Gold"
"854"	"Schizophrenic disorders"	"schizophrenia"	"Gold"
"46434"	"Bipolar affective disorder, currently manic, moderate"	"bipolar"	"Gold"
"3636"	"Psychotic episode NOS"	"other psychosis"	"Gold"
"34389"	"[X]Delusional disorder"	"other psychosis"	"Gold"
"18909"	"Hypomanic psychoses"	"bipolar"	"Gold"
"49223"	"[X]Persistent delusional disorder, unspecified"	"other psychosis"	"Gold"
"16562"	"[X]Bipolar affect disorder cur epi mild or moderate depressn"	"bipolar"	"Gold"
"17982"	"Delusion"	"other psychosis"	"Gold"
"38063"	"Residual schizophrenia"	"schizophrenia"	"Gold"
"4677"	"Bipolar affective disorder, currently depressed"	"bipolar"	"Gold"
"99199"	"Subchronic catatonic schizophrenia"	"schizophrenia"	"Gold"
"104760"	"Subchronic paranoid schizophrenia"	"schizophrenia"	"Gold"
"26227"	"Recurrent manic episodes"	"bipolar"	"Gold"
"51903"	"[X]Schizophreniform psychosis, manic type"	"other psychosis"	"Gold"
"115050"	"[X]Bouffee delirante with symptoms of schizophrenia"	"other psychosis"	"Gold"
"26143"	"[X]Cycloid psychosis with symptoms of schizophrenia"	"other psychosis"	"Gold"
"33338"	"Atypical schizophrenia"	"schizophrenia"	"Gold"
"9521"	"[X]Bipolar disorder, single manic episode"	"bipolar"	"Gold"
"35734"	"Bipolar affective disorder, currently depressed, mild"	"bipolar"	"Gold"
"68326"	"Unspecified bipolar affective disorder,severe with psychosis"	"bipolar"	"Gold"
"85102"	"Bipolar affective disorder resolved"	"bipolar"	"Gold"
"55479"	"Ideas of reference"	"other psychosis"	"Gold"
"65811"	"Recurrent manic episodes, severe without mention psychosis"	"bipolar"	"Gold"
"6874"	"[X]Bipolar affective disorder"	"bipolar"	"Gold"
"66766"	"Paranoia querulans"	"other psychosis"	"Gold"
"8766"	"[X]Symptomatic psychosis NOS"	"other psychosis"	"Gold"
"91511"	"[X]Latent schizophrenic reaction"	"other psychosis"	"Gold"
"64993"	"[X]Latent schizophrenia"	"other psychosis"	"Gold"
"54387"	"[X]Borderline schizophrenia"	"other psychosis"	"Gold"
"40386"	"[X]Prodromal schizophrenia"	"other psychosis"	"Gold"
"62449"	"[X]Prepsychotic schizophrenia"	"other psychosis"	"Gold"
"71250"	"[X]Pseudopsychopathic schizophrenia"	"other psychosis"	"Gold"
"26859"	"[X]Schizotypal personality disorder"	"other psychosis"	"Gold"
"50868"	"Folie a deux"	"other psychosis"	"Gold"
"44513"	"[X]Manic episode, unspecified"	"bipolar"	"Gold"
"114206"	"Acute exacerbation of chronic latent schizophrenia"	"other psychosis"	"Gold"
"94299"	"Chronic latent schizophrenia"	"other psychosis"	"Gold"
"32295"	"Recurrent manic episodes, severe, with psychosis"	"bipolar"	"Gold"
"113529"	"Chronic catatonic schizophrenia"	"schizophrenia"	"Gold"
"46415"	"Recurrent manic episode NOS"	"bipolar"	"Gold"
"63867"	"Catatonic schizophrenia NOS"	"schizophrenia"	"Gold"
"44498"	"Acute exacerbation of chronic schizophrenia"	"schizophrenia"	"Gold"
"12771"	"Paranoid psychosis NOS"	"other psychosis"	"Gold"
"63651"	"Mixed bipolar affective disorder, partial/unspec remission"	"bipolar"	"Gold"
"36126"	"Bipolar affective disorder, currently manic, mild"	"bipolar"	"Gold"
"34236"	"[X]Schizophrenia"	"schizophrenia"	"Gold"
"101987"	"[X]Nonorganic psychosis in remission"	"other psychosis"	"Gold"
"51302"	"[X]Induced delusional disorder"	"other psychosis"	"Gold"
"63150"	"Mixed bipolar affective disorder, moderate"	"bipolar"	"Gold"
"62405"	"[X]Delusional misidentification syndrome"	"other psychosis"	"Gold"
"17281"	"[X]Schizophrenia, schizotypal and delusional disorders"	"other psychosis"	"Gold"
"37102"	"[X]Mania with mood-congruent psychotic symptoms"	"bipolar"	"Gold"
"14971"	"Paraphrenia"	"other psychosis"	"Gold"
"16808"	"[X]Bipolar affective disorder, current episode hypomanic"	"bipolar"	"Gold"
"44503"	"[X]Other acute and transient psychotic disorders"	"other psychosis"	"Gold"
"11244"	"[X]Unspecified nonorganic psychosis"	"other psychosis"	"Gold"
"2113"	"[X]Paranoid psychosis"	"other psychosis"	"Gold"
"50326"	"[X]Erotomania"	"other psychosis"	"Gold"
"33425"	"Other affective psychosis NOS"	"other psychosis"	"Gold"
"109634"	"Sander's disease"	"other psychosis"	"Gold"
"70000"	"Single manic episode in full remission"	"bipolar"	"Gold"
"18053"	"[X]Schizophrenifrm psychos NOS"	"schizophrenia"	"Gold"
"94001"	"[X]Schizophreniform disord NOS"	"schizophrenia"	"Gold"
"33383"	"Unspecified paranoid schizophrenia"	"schizophrenia"	"Gold"
"35877"	"[X]Schizophrenic catatonia"	"schizophrenia"	"Gold"
"20572"	"[X]Catatonic stupor"	"schizophrenia"	"Gold"
"61969"	"Schizotypal personality"	"other psychosis"	"Gold"
"32222"	"Simple schizophrenia"	"schizophrenia"	"Gold"
"25546"	"Catatonic schizophrenia"	"schizophrenia"	"Gold"
"48054"	"Hebephrenic schizophrenia NOS"	"schizophrenia"	"Gold"
"67768"	"Hebephrenic schizophrenia in remission"	"schizophrenia"	"Gold"
"9281"	"Paranoid schizophrenia NOS"	"schizophrenia"	"Gold"
"41992"	"Other and unspecified affective psychoses"	"other psychosis"	"Gold"
"113781"	"Chronic hebephrenic schizophrenia"	"schizophrenia"	"Gold"
"37296"	"Bipolar affective disorder, currently depressed, NOS"	"bipolar"	"Gold"
"68647"	"Unspecified bipolar affective disorder, moderate"	"bipolar"	"Gold"
"27890"	"Bipolar affective disorder, currently depressed, moderate"	"bipolar"	"Gold"
"26161"	"Manic psychoses"	"bipolar"	"Gold"
"8567"	"Bipolar psychoses"	"bipolar"	"Gold"
"27986"	"Unspecified bipolar affective disorder, NOS"	"bipolar"	"Gold"
"43405"	"[X]Hebephrenic schizophrenia"	"schizophrenia"	"Gold"
"31589"	"Other paranoid states"	"other psychosis"	"Gold"
"59096"	"[X]Brief schizophreniform disorder"	"other psychosis"	"Gold"
"22080"	"[V]Personal history of manic-depressive psychosis"	"bipolar"	"Gold"
"23963"	"[V]Personal history of manic-depressive psychosis"	"bipolar"	"Gold"
"53840"	"[X]Other bipolar affective disorders"	"bipolar"	"Gold"
"22117"	"Psychogenic stupor"	"other psychosis"	"Gold"
"2117"	"Schizo-affective schizophrenia"	"other psychosis"	"Gold"
"107222"	"Acute exacerbation of chronic catatonic schizophrenia"	"schizophrenia"	"Gold"
"104065"	"[X]Bipolar affective disorder type I"	"bipolar"	"Gold"
"63478"	"Acute exacerbation of chronic schizo-affective schizophrenia"	"other psychosis"	"Gold"
"3984"	"Chronic schizophrenic"	"schizophrenia"	"Gold"
"109485"	"Single manic episode in partial or unspecified remission"	"bipolar"	"Gold"
"27770"	"[X]Psychogenic paranoid psychosis"	"other psychosis"	"Gold"
"58687"	"Schizophrenia in remission"	"schizophrenia"	"Gold"
"4678"	"[X]Mania NOS"	"bipolar"	"Gold"
"54195"	"Mixed bipolar affective disorder, severe, with psychosis"	"bipolar"	"Gold"
"35738"	"Bipolar affective disorder, currently manic, unspecified"	"bipolar"	"Gold"
"88275"	"Schizophrenia resolved"	"schizophrenia"	"Gold"
"22643"	"Paranoid ideation"	"other psychosis"	"Gold"
"93167"	"Oneirophrenia"	"other psychosis"	"Gold"
"26299"	"[X]Bipolar affect disorder cur epi manic wout psychotic symp"	"bipolar"	"Gold"
"10575"	"Schizo-affective schizophrenia NOS"	"other psychosis"	"Gold"
"22644"	"Poor insight into psychotic condition"	"other psychosis"	"Gold"
"55221"	"[X]Capgras syndrome"	"other psychosis"	"Gold"
"31493"	"[X]Schizophrenic flexibilatis cerea"	"schizophrenia"	"Gold"
"57465"	"Bipolar affective disorder, now depressed, in full remission"	"bipolar"	"Gold"
"56438"	"Schizo-affective schizophrenia in remission"	"other psychosis"	"Gold"
"37580"	"[X]Mixed schizophrenic and affective psychosis"	"other psychosis"	"Gold"
"37178"	"Recurrent manic episodes, in full remission"	"bipolar"	"Gold"
"19345"	"Psychosis, schizophrenia + bipolar affective disord resolved"	"other psychosis"	"Gold"
"97919"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"schizophrenia"	"Gold"
"3890"	"Chronic paranoid psychosis"	"other psychosis"	"Gold"
"39062"	"Other schizophrenia"	"schizophrenia"	"Gold"
"29451"	"[X]Manic-depress psychosis,depressd,no psychotic symptoms"	"bipolar"	"Gold"
"63698"	"Unspecified bipolar affective disorder, mild"	"bipolar"	"Gold"
"73423"	"Unspecified bipolar affective disorder, severe, no psychosis"	"bipolar"	"Gold"
"35607"	"Bipolar affect disord, now depressed, severe, no psychosis"	"bipolar"	"Gold"
"34966"	"[X]Schizophrenia, unspecified"	"schizophrenia"	"Gold"
"23616"	"Subchronic schizophrenia"	"schizophrenia"	"Gold"
"61501"	"[X]Catatonic schizophrenia"	"schizophrenia"	"Gold"
"31455"	"Other paranoid states NOS"	"other psychosis"	"Gold"
"66077"	"[X]Other persistent delusional disorders"	"other psychosis"	"Gold"
"13024"	"[X]Mania without psychotic symptoms"	"bipolar"	"Gold"
"73295"	"Schizophrenia simplex"	"schizophrenia"	"Gold"
"103915"	"[X]Bipolar affective disorder type II"	"bipolar"	"Gold"
"23538"	"Brief reactive psychosis"	"other psychosis"	"Gold"
"53985"	"[X]Disorganised schizophrenia"	"schizophrenia"	"Gold"
"102427"	"Catatonic schizophrenia in remission"	"schizophrenia"	"Gold"
"11596"	"Unspecified manic-depressive psychoses"	"bipolar"	"Gold"
"43093"	"Single manic episode, severe without mention of psychosis"	"bipolar"	"Gold"
"50218"	"Single manic episode, severe, with psychosis"	"bipolar"	"Gold"
"35274"	"[X]Schizoaffective psychosis, depressive type"	"other psychosis"	"Gold"
"68058"	"Bouffee delirante"	"other psychosis"	"Gold"
"51032"	"[X]Recurrent manic episodes"	"bipolar"	"Gold"
"73924"	"[X]Bipolar II disorder"	"bipolar"	"Gold"
"31316"	"Mixed bipolar affective disorder"	"bipolar"	"Gold"
"63784"	"Bipolar affective disorder, currently manic, full remission"	"bipolar"	"Gold"
"49763"	"Unspecified bipolar affective disorder, unspecified"	"bipolar"	"Gold"
"14743"	"Simple paranoid state"	"other psychosis"	"Gold"
"12777"	"H/O: psychosis"	"other psychosis"	"Gold"
"43462"	"Delusion of persecution"	"other psychosis"	"Gold"
"28562"	"[X]Persistent delusional disorders"	"other psychosis"	"Gold"
"16333"	"Other reactive psychoses"	"other psychosis"	"Gold"
"63583"	"Mixed bipolar affective disorder, NOS"	"bipolar"	"Gold"
"33693"	"[X]Schizoaffective disorder, mixed type"	"other psychosis"	"Gold"
"44307"	"[X]Other acute predominantly delusional psychotic disorders"	"other psychosis"	"Gold"
"44693"	"[X]Bipolar affective disorder, current episode mixed"	"bipolar"	"Gold"
"58866"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"other psychosis"	"Gold"
"63701"	"Bipolar affect disord, now depressed, severe with psychosis"	"bipolar"	"Gold"
"102311"	"Unspecified latent schizophrenia"	"other psychosis"	"Gold"
"64533"	"[X]Schizophrenic catalepsy"	"schizophrenia"	"Gold"
"36172"	"Paranoid schizophrenia in remission"	"schizophrenia"	"Gold"
"576"	"Acute schizophrenic episode"	"schizophrenia"	"Gold"
"3702"	"Bipolar affective disorder, currently manic"	"bipolar"	"Gold"
"41989"	"[X]Single episode agitated depressn w'out psychotic symptoms"	"other psychosis"	"Gold"
"72026"	"Bipolar affect disord, now depressed, part/unspec remission"	"bipolar"	"Gold"
"14656"	"Affective psychoses"	"other psychosis"	"Gold"
"24107"	"[X]Chronic undifferentiated schizophrenia"	"schizophrenia"	"Gold"
"63284"	"Mixed bipolar affective disorder, severe, without psychosis"	"bipolar"	"Gold"
"20785"	"[X]Post-schizophrenic depression"	"schizophrenia"	"Gold"
"99000"	"Cyclic schizophrenia"	"schizophrenia"	"Gold"
"60013"	"[X]Undifferentiated schizophrenia"	"schizophrenia"	"Gold"
"33469"	"[x]recurr depress disorder cur epi severe without psyc sympt"	"depression"	"Gold"
"7011"	"single major depressive episode nos"	"depression"	"Gold"
"15220"	"[x]persistant anxiety depression"	"depression"	"Gold"
"8584"	"[x]depressive neurosis"	"depression"	"Gold"
"7737"	"[x]neurotic depression"	"depression"	"Gold"
"42931"	"on depression register"	"depression"	"Gold"
"34390"	"single major depressive episode, unspecified"	"depression"	"Gold"
"1131"	"neurotic depression reactive type"	"depression"	"Gold"
"2716"	"h/o: depression"	"depression"	"Gold"
"100977"	"suspected depression"	"depression"	"Gold"
"98414"	"[x]major depression, severe without psychotic symptoms"	"depression"	"Gold"
"2560"	"depressive psychoses"	"depression"	"Gold"
"32841"	"referral for guided self-help for depression"	"depression"	"Gold"
"96995"	"on full dose long term treatment depression - enh serv admin"	"depression"	"Gold"
"28008"	"[x]other mood affective disorders"	"depression"	"Gold"
"24171"	"recurrent major depressive episodes, severe, with psychosis"	"depression"	"Gold"
"112682"	"referral for guided self-help for depression declined"	"depression"	"Gold"
"22116"	"[x]recurrent depressive disorder, currently in remission"	"depression"	"Gold"
"47009"	"[x]recurrent depress disorder cur epi severe with psyc symp"	"depression"	"Gold"
"324"	"depressive disorder nec"	"depression"	"Gold"
"44300"	"[x]recurrent depressive disorder, unspecified"	"depression"	"Gold"
"27491"	"atypical depressive disorder"	"depression"	"Gold"
"1996"	"depressed"	"depression"	"Gold"
"30483"	"patient given advice about management of depression"	"depression"	"Gold"
"15219"	"single major depressive episode, severe, without psychosis"	"depression"	"Gold"
"30405"	"depression interim review"	"depression"	"Gold"
"51258"	"depression monitoring administration"	"depression"	"Gold"
"543"	"[x]depression nos"	"depression"	"Gold"
"98252"	"[x]major depression, moderately severe"	"depression"	"Gold"
"19439"	"depression resolved"	"depression"	"Gold"
"12122"	"depression medication review"	"depression"	"Gold"
"56273"	"recurrent major depressive episodes,partial/unspec remission"	"depression"	"Gold"
"9796"	"symptoms of depression"	"depression"	"Gold"
"15155"	"single major depressive episode, moderate"	"depression"	"Gold"
"16632"	"prolonged depressive reaction"	"depression"	"Gold"
"6932"	"endogenous depression - recurrent"	"depression"	"Gold"
"47731"	"[x]other recurrent depressive disorders"	"depression"	"Gold"
"71009"	"depression monitoring first letter"	"depression"	"Gold"
"32941"	"[x]recurr severe episodes/major depression+psychotic symptom"	"depression"	"Gold"
"37764"	"[x]recurrent severe episodes/reactive depressive psychosis"	"depression"	"Gold"
"16861"	"[x]recurrent severe episodes of psychotic depression"	"depression"	"Gold"
"31757"	"[x]recurr severe episodes/psychogenic depressive psychosis"	"depression"	"Gold"
"4824"	"c/o - feeling depressed"	"depression"	"Gold"
"65435"	"depression - enhanced service completed"	"depression"	"Gold"
"29579"	"[x]other specified mood affective disorders"	"depression"	"Gold"
"88644"	"depression monitoring verbal invite"	"depression"	"Gold"
"39767"	"[x]persistent mood affective disorder, unspecified"	"depression"	"Gold"
"43239"	"excepted from depression quality indicators: informed dissen"	"depression"	"Gold"
"14709"	"recurrent major depressive episodes, moderate"	"depression"	"Gold"
"9183"	"masked depression"	"depression"	"Gold"
"24117"	"[x]single episode of major depression and psychotic symptoms"	"depression"	"Gold"
"52678"	"[x]single episode of psychogenic depressive psychosis"	"depression"	"Gold"
"6950"	"endogenous depression first episode"	"depression"	"Gold"
"6546"	"endogenous depression first episode"	"depression"	"Gold"
"5879"	"agitated depression"	"depression"	"Gold"
"595"	"endogenous depression"	"depression"	"Gold"
"10438"	"depressive symptoms"	"depression"	"Gold"
