"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidiabetic"
"48149"	"Metformin 500mg tablets (Almus Pharmaceuticals Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"48342"	"HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Burgundy (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"48401"	"Sitagliptin 50mg tablets"	"Sitagliptin"	"50mg"	"Tablet"	"Oral"	"06010203"	"Sitagliptin"
"48435"	"BD AutoShield hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"48501"	"HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Champagne (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"48533"	"Sitagliptin 25mg tablets"	"Sitagliptin"	"25mg"	"Tablet"	"Oral"	"06010203"	"Sitagliptin"
"48576"	"BD AutoShield Duo hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"48633"	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"48765"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"48771"	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"48811"	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"48829"	"NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Blue (Novo Nordisk Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"49052"	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"49108"	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"49172"	"NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Red (Novo Nordisk Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"49307"	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge (Ypsomed Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"49451"	"Mylife Clickfine AutoProtect hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge (Ypsomed Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"49479"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"49502"	"Glucophage SR 500mg tablets (Mawdsley-Brooks & Company Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"49738"	"Metformin 1g modified-release tablets (A A H Pharmaceuticals Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"49831"	"Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pen (Necessity Supplies Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"50087"	"Januvia 50mg tablets (Merck Sharp & Dohme Ltd)"	"Sitagliptin"	"50mg"	"Tablet"	"Oral"	"06010203"	"Sitagliptin"
"50124"	"Januvia 25mg tablets (Merck Sharp & Dohme Ltd)"	"Sitagliptin"	"25mg"	"Tablet"	"Oral"	"06010203"	"Sitagliptin"
"50570"	"Glucophage SR 500mg tablets (Lexon (UK) Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"50633"	"Lantus 100units/ml solution for injection 3ml cartridges (Necessity Supplies Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"50682"	"Jentadueto 2.5mg/1000mg tablets (Boehringer Ingelheim Ltd)"	"Linagliptin/Metformin"	"1000mg + 2.5mg"	"Tablet"	"Oral"	"06010202/06010203"	"Linagliptin/Metformin"
"50691"	"Human Mixtard 20 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"50798"	"Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-35 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"50821"	"Metformin 850mg tablets (Pfizer Ltd)"	"Metformin"	"850mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"50970"	"Metformin 500mg tablets (Bristol Laboratories Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"51080"	"Metabet SR 1000mg tablets (Actavis UK Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"51107"	"Hypodermic insulin injection pen reusable for 3ml cartridge 2 unit dial up / range 2-42 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"51135"	"Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"51527"	"Metformin 500mg tablets (Boston Healthcare Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"51612"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"51650"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"51743"	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"51881"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"51955"	"Gliclazide 80mg tablets (Accord Healthcare Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"52203"	"Enyglid 0.5mg tablets (Consilient Health Ltd)"	"Repaglinide"	"500microgram"	"Tablet"	"Oral"	"06010203"	"Repaglinide"
"52221"	"Diagemet XL 500mg tablets (Thornton & Ross Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"52232"	"Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"52319"	"Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"52442"	"Metformin 500mg tablets (Pfizer Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"52445"	"Linagliptin 2.5mg / Metformin 1g tablets"	"Linagliptin/Metformin"	"1000mg + 2.5mg"	"Tablet"	"Oral"	"06010202/06010203"	"Linagliptin/Metformin"
"52449"	"Linagliptin 2.5mg / Metformin 850mg tablets"	"Linagliptin/Metformin"	"850mg + 2.5mg"	"Tablet"	"Oral"	"06010202/06010203"	"Linagliptin/Metformin"
"52522"	"Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (DE Pharmaceuticals)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"52634"	"Glucophage SR 500mg tablets (DE Pharmaceuticals)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"52722"	"Human Mixtard 30 Penfill 100units/ml suspension for injection 1.5ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"52748"	"Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"53118"	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"53148"	"Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"53251"	"NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"06010101"	"Insulin"
"53288"	"Gliclazide 30mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"53437"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"53478"	"Metformin 500mg modified-release tablets (Kent Pharmaceuticals Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"53710"	"Insulin human 500units/ml solution for injection 20ml vials"	"Insulin"	"500unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010100"	"Insulin"
"53774"	"Metabet SR 500mg tablets (Actavis UK Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"53867"	"Metformin 500mg tablets (Zentiva)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"54027"	"Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000/71190600"	"Insulin"
"54028"	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"54150"	"Jentadueto 2.5mg/850mg tablets (Boehringer Ingelheim Ltd)"	"Linagliptin/Metformin"	"850mg + 2.5mg"	"Tablet"	"Oral"	"06010202/06010203"	"Linagliptin/Metformin"
"54182"	"Dapagliflozin 10mg tablets"	"Dapagliflozin"	"10mg"	"Tablet"	"Oral"	"06010203"	"Dapagliflozin"
"54203"	"Forxiga 10mg tablets (AstraZeneca UK Ltd)"	"Dapagliflozin"	"10mg"	"Tablet"	"Oral"	"06010203"	"Dapagliflozin"
"54265"	"Dapagliflozin 5mg tablets"	"Dapagliflozin"	"5mg"	"Tablet"	"Oral"	"06010203"	"Dapagliflozin"
"54442"	"Metformin (roi) 1000mg Tablet"	"Metformin"	"1000mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"54462"	"Insulin biphasic isophane human emp 25:75; 100 units/ml Injection"	"Insulin"	"25:75; 100 Units/ml"	"Injection"	"Intramuscular"	"06010102"	"Insulin"
"54480"	"Forxiga 5mg tablets (AstraZeneca UK Ltd)"	"Dapagliflozin"	"5mg"	"Tablet"	"Oral"	"06010203"	"Dapagliflozin"
"54573"	"Hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"54629"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"71190600"	"Insulin"
"54764"	"Gliclazide 80mg tablets (Arrow Generics Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"54885"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"54886"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"54891"	"Saxagliptin 2.5mg / Metformin 1g tablets"	"Metformin/Saxagliptin"	"1gram + 2.5mg"	"Tablet"	"Oral"	"06010203"	"Metformin/Saxagliptin"
"54898"	"Metformin 850mg tablets (Almus Pharmaceuticals Ltd)"	"Metformin"	"850mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"54973"	"Saxagliptin 2.5mg / Metformin 850mg tablets"	"Metformin/Saxagliptin"	"2.5mg + 850mg"	"Tablet"	"Oral"	"06010203"	"Metformin/Saxagliptin"
"55234"	"Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"55270"	"Duformin 500mg Tablet (Dumex Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"55413"	"Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Lixisenatide"	"100microgram/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Lixisenatide"
"55459"	"Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Lixisenatide"	"50microgram/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Lixisenatide"
"55462"	"Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"55517"	"Insulin isophane human 100units/ml suspension for injection 10ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"55521"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"71190600"	"Insulin"
"55603"	"Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (DE Pharmaceuticals)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"55618"	"Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pen (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"55627"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"71190600"	"Insulin"
"55687"	"Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"55711"	"Metformin 500mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"55723"	"Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Lixisenatide"	NA	"Not applicable"	"Route of administration not applicable"	"06010203"	"Lixisenatide"
"55728"	"Lyxumia 10micrograms/0.2ml solution for injection 3ml pre-filled pen (Sanofi)"	"Lixisenatide"	"50microgram/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Lixisenatide"
"55729"	"Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pen (Sanofi)"	"Lixisenatide"	"100microgram/1ml"	"Solution for injection"	"Subcutaneous"	"06010203"	"Lixisenatide"
"55739"	"Metformin 500mg tablets (Tillomed Laboratories Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"55746"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"71190000"	"Insulin"
"55767"	"Lyxumia 10micrograms/20micrograms treatment initiation pack (Sanofi)"	"Lixisenatide"	NA	"Not applicable"	"Route of administration not applicable"	"06010203"	"Lixisenatide"
"55862"	"Gliclazide Oral solution"	"Gliclazide"	NA	"Oral Solution"	"Oral"	"06010201"	"Gliclazide"
"55907"	"Insulin degludec 100units/ml solution for injection 3ml cartridges"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"55910"	"Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"56008"	"Gliclazide 80mg tablets (Almus Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Tablet"	"Oral"	"06010201"	"Gliclazide"
"56115"	"Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"00000000"	"Insulin"
"56208"	"Pioglitazone 15mg tablets (A A H Pharmaceuticals Ltd)"	"Pioglitazone"	"15mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"56352"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Green (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"56376"	"Rosiglitazone 4mg with glimepiride 4mg tablet"	"Glimepiride/Rosiglitazone"	NA	"Tablet"	"Oral"	"06010201/06010203"	"Glimepiride/Rosiglitazone"
"56437"	"Gliclazide 60mg modified-release tablets"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"56489"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"56495"	"Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pen (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"00000000"	"Insulin"
"56502"	"Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"00000000"	"Insulin"
"56624"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190300"	"Insulin"
"56639"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"56642"	"Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Cambridge Sensors Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"56656"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190300"	"Insulin"
"56691"	"Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"200unit/1ml"	"Solution for injection"	"Subcutaneous"	"06010102"	"Insulin"
"56785"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Red (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"56808"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12mm/29gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"56857"	"Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"15unit/1ml + 85unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010151"	"Insulin"
"56879"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Graphite (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"56939"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Pink (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"56965"	"Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd)"	"Metformin/Saxagliptin"	"1gram + 2.5mg"	"Tablet"	"Oral"	"06010203"	"Metformin/Saxagliptin"
"56983"	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"71190600"	"Insulin"
"57147"	"Bolamyn SR 1000mg tablets (Teva UK Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"06010202"	"Metformin"
"57153"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190300"	"Insulin"
"57243"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/30gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"57387"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190300"	"Insulin"
"57388"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190300"	"Insulin"
"57451"	"Microdot Droplet hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Cambridge Sensors Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"57457"	"Metformin 500mg tablets (Milpharm Ltd)"	"Metformin"	"500mg"	"Tablet"	"Oral"	"06010202"	"Metformin"
"57493"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Silver (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"57529"	"Humalog 100units/ml solution for injection 10ml vials (Dowelhurst Ltd)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"57564"	"Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pen (Waymade Healthcare Plc)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"06010101"	"Insulin"
"57601"	"Daonil 5mg tablets (Dowelhurst Ltd)"	"Glibenclamide"	"5mg"	"Tablet"	"Oral"	"06010201"	"Glibenclamide"
"57620"	"Humulin M3 100units/ml suspension for injection 10ml vials (Mawdsley-Brooks & Company Ltd)"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Suspension for injection"	"Subcutaneous"	"00000000"	"Insulin"
"57622"	"Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc)"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"06010102"	"Insulin"
"57659"	"Pioglitazone 30mg tablets (Actavis UK Ltd)"	"Pioglitazone"	"30mg"	"Tablet"	"Oral"	"06010203"	"Pioglitazone"
"57744"	"Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (B.Braun Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"57830"	"Gliclazide 30mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"06010201"	"Gliclazide"
"58051"	"Metformin 500mg/5ml oral solution"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"58449"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190900"	"Insulin"
"58578"	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm safety needle 0.33mm/29gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190300"	"Insulin"
"58579"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190000"	"Insulin"
"58581"	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"58607"	"Metformin 500mg/5ml oral solution sugar free (Zentiva)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"06010202"	"Metformin"
"58745"	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"58754"	"BD SafetyGlide hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190300"	"Insulin"
"58798"	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
"58801"	"GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 10mm/29gauge (GlucoRx Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"71190600"	"Insulin"
