"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Antidiabetic"	"group"
"43619"	"Metformin 1g / Sitagliptin 50mg tablets"	"Oral tablet"	"Oral"	"Sitagliptin/Metformin"	"1gram + 50mg"	"Gliptins Plus Metformin"	"Sitagliptin/Metformin"	"DPP-4is, Metformin"
"38422"	"Isophane 100iu/ml Injection (Celltech Pharma Europe Ltd)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"8168"	"Diabinese 250mg Tablet (Pfizer Ltd)"	"Oral tablet"	"Oral"	"Chlorpropamide"	"250mg"	"Sulphonylureas"	"Chlorpropamide"	"Sulfonylureas"
"89410"	"Lyumjev Tempo Pen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"52445"	"Linagliptin 2.5mg / Metformin 1g tablets"	"Oral tablet"	"Oral"	"Linagliptin/Metformin"	"1000mg + 2.5mg"	"Gliptins Plus Metformin"	"Linagliptin/Metformin"	"DPP-4is, Metformin"
"77753"	"Meijumet 1000mg modified-release tablets (Medreich Plc)"	"Modified-release tablet"	"Oral"	"Metformin"	"1gram"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"9521"	"Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd)"	"Solution for injection"	"Intramuscular/Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"57622"	"Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"49831"	"Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pens (Necessity Supplies Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"68203"	"Metformin 500mg modified-release tablets (Almus Pharmaceuticals Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"56939"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Pink (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"1593"	"Insulatard penfill 100 100iu/ml Penfill (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"27614"	"Penmix 30/70 100iu/ml Injection (Novo Nordisk Ltd)"	"Injection"	"Intramuscular"	"Insulin"	"100iu/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"8838"	"INSULIN SEMITARD 40 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"13274"	"Clinipak u100 single use ins syr+12mm need28g 1ml [rand] 1ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd)"	"Insulin Syringe With 28Gauge Needle 12Mm"	NA	"Insulin"	"1ml"	"Diabetic Hypodermic Equipment"	"Insulin"	"Insulin"
"28101"	"Insulin glulisine 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"69823"	"Fiasp FlexTouch 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"12455"	"Rastinon 500mg Tablet (Hoechst Marion Roussel)"	"Oral tablet"	"Oral"	"Tolbutamide"	"500mg"	"Sulphonylureas"	"Tolbutamide"	"Sulfonylureas"
"27402"	"Insulin soluble human 100units/ml solution for injection 10ml vials"	"Solution for injection"	"Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"33673"	"Tolbutamide 500mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Tolbutamide"	"500mg"	"Sulphonylureas"	"Tolbutamide"	"Sulfonylureas"
"48435"	"BD AutoShield hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge (Becton, Dickinson UK Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"85064"	"Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"21347"	"Penmix 40/60 100iu/ml Injection (Novo Nordisk Ltd)"	"Injection"	"Intramuscular"	"Insulin"	"100iu/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"82595"	"Lantus 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"35561"	"Prandin 2mg tablets (Novo Nordisk Ltd)"	"Oral tablet"	"Oral"	"Repaglinide"	"2mg"	"Meglitinides (Glinides)"	"Repaglinide"	"Other"
"89876"	"Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Tirzepatide"	"5mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"	"GLP-1RAs"
"56502"	"Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Solution for injection"	"Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"41204"	"Saxagliptin 5mg tablets"	"Oral tablet"	"Oral"	"Saxagliptin"	"5mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"	"DPP-4is"
"47074"	"Gliclazide 80mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Gliclazide"	"16mg/1ml"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"45775"	"Saxagliptin 2.5mg tablets"	"Oral tablet"	"Oral"	"Saxagliptin"	"2.5mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"	"DPP-4is"
"8646"	"INSULIN ZINC CRYSTALLINE susp 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"17076"	"Omnican 100 hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 8mm needle 0.3mm/30gauge (B.Braun Medical Ltd)"	"Insulin Syringe With 8Mm Needle(30G)"	NA	"Insulin"	"1ml/U100"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"	"Insulin"
"74051"	"Onglyza 5mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Saxagliptin"	"5mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Saxagliptin"	"DPP-4is"
"9079"	"INSULIN SOLUBLE 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"80215"	"Unifine Pentips Plus hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Owen Mumford Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"58579"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32.5gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"83236"	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Nipro Diagnostics (UK) Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"10245"	"Mixtard 10 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"10unit/1ml + 90unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"64495"	"TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Owen Mumford Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"64622"	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (Lexon (UK) Ltd)"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Exenatide"	"2mg"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"	"GLP-1RAs"
"68031"	"Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"14299"	"Insulin glulisine 100units/ml solution for injection 3ml cartridges"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"90129"	"Mounjaro KwikPen 5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Tirzepatide"	"8.333mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"	"GLP-1RAs"
"3396"	"Penmix 10/90 Penfill (Novo Nordisk Ltd)"	"Penfill"	NA	"Insulin"	NA	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"31467"	"Exubera 3mg inhalation powder blisters (Pfizer Ltd)"	"Inhalation powder"	"Inhalation"	"Insulin"	"3mg"	"Unknown"	"Insulin"	"Insulin"
"69459"	"Alogliptin 25mg tablets (Ennogen Healthcare Ltd)"	"Oral tablet"	"Oral"	"Alogliptin"	"25mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Alogliptin"	"DPP-4is"
"90264"	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/32gauge (Spirit Healthcare Ltd)"	"Suppository"	"Rectal"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"20671"	"INSULIN HUM/ACTRAPHANE"	NA	NA	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"62014"	"Glimepiride 2mg tablets (Accord-UK Ltd)"	"Oral tablet"	"Oral"	"Glimepiride"	"2mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"79358"	"Insulin biphasic isophane porcine 100 units/ml Injection"	"Injection"	"Intramuscular"	"Insulin"	"100 units/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"9108"	"TOLBUTAMIDE 250 MG TAB"	"Tablet"	"Oral"	"Tolbutamide"	NA	"Unknown"	"Tolbutamide"	"Sulfonylureas"
"73892"	"Metformin 500mg tablets (Relonchem Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"26795"	"SYRINGE INSULIN DISPOSABLE"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"21235"	"Humulin S 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intravenous/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"11946"	"Tolbutamide 50mg/ml Injection"	"Injection"	"Intramuscular"	"Tolbutamide"	"50mg/ml"	"Sulphonylureas"	"Tolbutamide"	"Sulfonylureas"
"60286"	"Metformin 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Metformin"	"100mg/1ml"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"37617"	"Rosiglitazone 2mg tablet"	"Tablets"	"Oral"	"Rosiglitazone"	"2mg"	"Other Antidiabetic Products"	"Rosiglitazone"	"Other"
"73684"	"Unifine Pentips hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Owen Mumford Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"45831"	"Dacadis MR 30mg tablets (Viatris UK Healthcare Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"39006"	"Humalog Mix25 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"25unit/1ml + 75unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"2455"	"Mixtard 20 NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"20unit/1ml + 80unit/1ml"	"Unknown"	"Insulin"	"Insulin"
"1253"	"Chlorpropamide 100mg tablets"	"Oral tablet"	"Oral"	"Chlorpropamide"	"100mg"	"Sulphonylureas"	"Chlorpropamide"	"Sulfonylureas"
"39988"	"Metformin 500mg oral powder sachets sugar free"	"Powder for oral solution"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"84743"	"Metformin Oral solution"	"Oral Solution"	"Oral"	"Metformin"	NA	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"10545"	"INSULIN HUMULIN M4 CARTRIDGE 100 I/U"	NA	NA	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"7783"	"INSULIN ISOPHANE (HUMAN) 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"51612"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/29gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"19271"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge"	"Hypodermic Needle"	NA	"Insulin"	"8mm/30gauge"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"46665"	"Linagliptin 5mg tablets"	"Oral tablet"	"Oral"	"Linagliptin"	"5mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Linagliptin"	"DPP-4is"
"43950"	"Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"71012"	"Metformin 500mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"16959"	"Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.3mm/30gauge"	"Insulin Syringe With 12Mm Needle(30G)"	NA	"Insulin"	"1ml"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"	"Insulin"
"8390"	"Gliquidone 30mg tablets"	"Oral tablet"	"Oral"	"Gliquidone"	"30mg"	"Unknown"	"Gliquidone"	"Sulfonylureas"
"81073"	"Victoza 6mg/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Liraglutide"	"6mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"	"GLP-1RAs"
"7228"	"NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
"18224"	"Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"24485"	"INSULIN ZINC ANIMAL SUSPENSION"	NA	NA	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"83212"	"GlucoRx Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (GlucoRx Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"5276"	"Glimepiride 1mg tablets"	"Oral tablet"	"Oral"	"Glimepiride"	"1mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"89322"	"Wegovy FlexTouch 0.25mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Semaglutide"	"676microgram/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"	"GLP-1RAs"
"28588"	"Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"73808"	"Metformin 500mg/5ml oral solution sugar free (Accord-UK Ltd)"	"Oral solution"	"Oral"	"Metformin"	"100mg/1ml"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"62265"	"Metformin 500mg modified-release tablets (Mawdsley-Brooks & Company Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"74996"	"Neon Verifine Safety hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Neon Diagnostics Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"6554"	"Autopen 24 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-21 units (Owen Mumford Ltd)"	"Insulin Pen"	NA	"Insulin"	"3ml/1-21 units"	"Reusable Pens"	"Insulin"	"Insulin"
"71428"	"Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc)"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"57529"	"Humalog 100units/ml solution for injection 10ml vials (Dowelhurst Ltd)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Short-Acting Insulins"	"Insulin"	"Insulin"
"69442"	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Neon Diagnostics Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"43568"	"ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi)"	"Insulin Pen"	NA	"Insulin"	"3ml/1-80 units"	"Reusable Pens"	"Insulin"	"Insulin"
"31212"	"Gliclazide 80mg tablets (Actavis UK Ltd)"	"Oral tablet"	"Oral"	"Gliclazide"	"80mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"64987"	"Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"89141"	"Gliclazide 40mg tablets (Medreich Plc)"	"Oral tablet"	"Oral"	"Gliclazide"	"40mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"63823"	"Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Dulaglutide"	"3mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"	"GLP-1RAs"
"89061"	"NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Novo Nordisk Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"57493"	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Silver (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"11737"	"Metformin with rosiglitazone 1000mg + 4mg Tablet"	"Tablet"	"Oral"	"Metformin/Rosiglitazone"	"1000mg + 4mg"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Metformin/Rosiglitazone"	"Metformin, Other"
"77437"	"Amaryl 1mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Glimepiride"	"1mg"	"Sulphonylureas"	"Glimepiride"	"Sulfonylureas"
"17706"	"Minodiab 2.5mg tablets (Pfizer Ltd)"	"Oral tablet"	"Oral"	"Glipizide"	"2.5mg"	"Unknown"	"Glipizide"	"Sulfonylureas"
"48633"	"GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"5953"	"Insulin glargine 100iu/ml Injection"	"Injection"	"Intramuscular"	"Insulin"	"100iu/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"7815"	"METFORMIN 800 MG TAB"	"Tablet"	"Oral"	"Metformin"	NA	"Unknown"	"Metformin"	"Metformin"
"80810"	"Bydureon BCise 2mg/0.85ml prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)"	"Prolonged-release suspension for injection"	"Subcutaneous"	"Exenatide"	"2.353mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"	"GLP-1RAs"
"90667"	"Tirzepatide 12.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Tirzepatide"	"20.833mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"	"GLP-1RAs"
"91411"	"Diavic 6mg/ml solution for injection 3ml pre-filled pens (Sun Pharma UK Ltd)"	"Solution for injection"	"Subcutaneous"	"Liraglutide"	"6mg/1ml"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"	"GLP-1RAs"
"55687"	"Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"8483"	"MONOJECT INSULIN NEEDLES"	NA	NA	"Insulin"	NA	"Unknown"	"Insulin"	"Insulin"
"39598"	"Metformin 1g modified-release tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"1gram"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"54480"	"Forxiga 5mg tablets (AstraZeneca UK Ltd)"	"Oral tablet"	"Oral"	"Dapagliflozin"	"5mg"	"SGLT2 Inhibitors (Gliflozins)"	"Dapagliflozin"	"SGLT-2is"
"10207"	"Insulin isophane human 100units/ml suspension for injection 3ml cartridges"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"82709"	"Semaglutide 7mg tablets"	"Oral tablet"	"Oral"	"Semaglutide"	"7mg"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"	"GLP-1RAs"
"39560"	"Bolamyn SR 500mg tablets (Teva UK Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"14928"	"Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"92016"	"Glucophage SR 850mg tablets (Merck Serono Ltd)"	"Modified-release tablet"	"Oral"	"Metformin"	"850mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"14887"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge"	"Hypodermic Needle"	NA	"Insulin"	"5mm/31gauge"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"53288"	"Gliclazide 30mg modified-release tablets (A A H Pharmaceuticals Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"63131"	"Ziclaseg 30mg modified-release tablets (Lupin Healthcare (UK) Ltd)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Sulphonylureas"	"Gliclazide"	"Sulfonylureas"
"52232"	"Hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Reusable Pens"	"Insulin"	"Insulin"
"30236"	"Isophane insulin 100iu/ml Injection"	"Injection"	"Intramuscular"	"Insulin"	"100iu/ml"	"Intermediate- And Long-Acting Insulins"	"Insulin"	"Insulin"
"63045"	"Metformin 850mg tablets (Relonchem Ltd)"	"Oral tablet"	"Oral"	"Metformin"	"850mg"	"Biguanides (Metformin)"	"Metformin"	"Metformin"
"50087"	"Januvia 50mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Oral tablet"	"Oral"	"Sitagliptin"	"50mg"	"Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)"	"Sitagliptin"	"DPP-4is"
"49479"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"	"Insulin"
"76988"	"NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"30unit/1ml + 70unit/1ml"	"Biphasic Insulins"	"Insulin"	"Insulin"
